frame_index,video_frame_no,cell_id,cell_row,cell_col,bin,count,value_norm
0,0,0,0,0,0,57,0.00347900390625
0,0,0,0,0,1,2,0.0001220703125
0,0,0,0,0,2,190,0.0115966796875
0,0,0,0,0,3,175,0.01068115234375
0,0,0,0,0,4,234,0.0142822265625
0,0,0,0,0,5,920,0.05615234375
0,0,0,0,0,6,1464,0.08935546875
0,0,0,0,0,7,2305,0.14068603515625
0,0,0,0,0,8,2156,0.131591796875
0,0,0,0,0,9,3512,0.21435546875
0,0,0,0,0,10,1186,0.0723876953125
0,0,0,0,0,11,1713,0.10455322265625
0,0,0,0,0,12,704,0.04296875
0,0,0,0,0,13,364,0.022216796875
0,0,0,0,0,14,221,0.01348876953125
0,0,0,0,0,15,46,0.0028076171875
0,0,0,0,0,16,742,0.0452880859375
0,0,0,0,0,17,393,0.02398681640625
0,0,1,0,1,0,20,0.001220703125
0,0,1,0,1,1,0,0.0
0,0,1,0,1,2,258,0.0157470703125
0,0,1,0,1,3,184,0.01123046875
0,0,1,0,1,4,165,0.01007080078125
0,0,1,0,1,5,716,0.043701171875
0,0,1,0,1,6,1245,0.07598876953125
0,0,1,0,1,7,2074,0.1265869140625
0,0,1,0,1,8,1891,0.11541748046875
0,0,1,0,1,9,3681,0.22467041015625
0,0,1,0,1,10,1057,0.06451416015625
0,0,1,0,1,11,1936,0.1181640625
0,0,1,0,1,12,708,0.043212890625
0,0,1,0,1,13,325,0.01983642578125
0,0,1,0,1,14,272,0.0166015625
0,0,1,0,1,15,83,0.00506591796875
0,0,1,0,1,16,1353,0.08258056640625
0,0,1,0,1,17,416,0.025390625
0,0,2,1,0,0,44,0.002685546875
0,0,2,1,0,1,2,0.0001220703125
0,0,2,1,0,2,236,0.014404296875
0,0,2,1,0,3,213,0.01300048828125
0,0,2,1,0,4,230,0.0140380859375
0,0,2,1,0,5,861,0.05255126953125
0,0,2,1,0,6,1372,0.083740234375
0,0,2,1,0,7,1933,0.11798095703125
0,0,2,1,0,8,1858,0.1134033203125
0,0,2,1,0,9,3376,0.2060546875
0,0,2,1,0,10,1245,0.07598876953125
0,0,2,1,0,11,1853,0.11309814453125
0,0,2,1,0,12,774,0.0472412109375
0,0,2,1,0,13,396,0.024169921875
0,0,2,1,0,14,251,0.01531982421875
0,0,2,1,0,15,76,0.004638671875
0,0,2,1,0,16,1104,0.0673828125
0,0,2,1,0,17,560,0.0341796875
0,0,3,1,1,0,6,0.0003662109375
0,0,3,1,1,1,0,0.0
0,0,3,1,1,2,107,0.00653076171875
0,0,3,1,1,3,113,0.00689697265625
0,0,3,1,1,4,98,0.0059814453125
0,0,3,1,1,5,710,0.0433349609375
0,0,3,1,1,6,1279,0.07806396484375
