input_index,input_name,raw_value,scaler_mean,scaler_scale,z,svm_weight,contribution_wz,abs_contribution
131,feat_130,0.005342968739569187,0.002629909897223115,0.0018514139810577035,1.4653983116149902,3.1082301139831543,4.554795265197754,4.554795265197754
21,feat_20,0.01704946719110012,0.0114072784781456,0.003843962913379073,1.4678051471710205,-2.2443594932556152,-3.2942824363708496,3.2942824363708496
74,feat_73,0.004870368167757988,0.0021251242142170668,0.0015034644166007638,1.8259453773498535,-1.676235556602478,-3.0607144832611084,3.0607144832611084
92,feat_91,0.004892674740403891,0.0021567612420767546,0.0015112935798242688,1.8103123903274536,-1.5656112432479858,-2.834245443344116,2.834245443344116
16,feat_15,0.020322829484939575,0.01060519739985466,0.004678318277001381,2.0771634578704834,-1.3487335443496704,-2.8015401363372803,2.8015401363372803
95,feat_94,0.0056582121178507805,0.0024433161597698927,0.0019357189303264022,1.660827875137329,1.6143572330474854,2.6811695098876953,2.6811695098876953
13,feat_12,0.024143630638718605,0.028137382119894028,0.00913818646222353,-0.4370398223400116,-5.658279895782471,2.472893714904785,2.472893714904785
127,feat_126,0.0030599161982536316,0.001821132143959403,0.0017651706002652645,0.70179283618927,-3.277108669281006,-2.299851417541504,2.299851417541504
67,feat_66,0.03637601435184479,0.029323721304535866,0.01039097085595131,0.6786943078041077,3.3614253997802734,2.2813801765441895,2.2813801765441895
2,feat_1,0.012438965030014515,0.007690025959163904,0.005094900261610746,0.9320966005325317,2.4455606937408447,2.279498815536499,2.279498815536499
58,feat_57,0.018996018916368484,0.016520997509360313,0.004858373664319515,0.509434163570404,-4.44735860824585,-2.265636444091797,2.265636444091797
5,feat_4,0.019855204969644547,0.014120897278189659,0.005168598610907793,1.109451174736023,-1.9283483028411865,-2.1394083499908447,2.1394083499908447
91,feat_90,0.003240534570068121,0.0015553818084299564,0.0016350606456398964,1.030636191368103,-2.0551881790161133,-2.1181514263153076,2.1181514263153076
113,feat_112,0.005133884958922863,0.002741942647844553,0.0018269660649821162,1.309242844581604,-1.490176796913147,-1.9510033130645752,1.9510033130645752
138,feat_137,0.02695244736969471,0.00979978684335947,0.007742695510387421,2.215334415435791,-0.8765119910240173,-1.9417672157287598,1.9417672157287598
85,feat_84,0.015210301615297794,0.004972459748387337,0.005188039503991604,1.973354697227478,-0.9831798076629639,-1.9401625394821167,1.9401625394821167
90,feat_89,0.021671775728464127,0.009036156348884106,0.007867848500609398,1.6059815883636475,1.177581548690796,1.89117431640625,1.89117431640625
77,feat_76,0.003734003519639373,0.002250494435429573,0.001601184019818902,0.9265075325965881,2.0329949855804443,1.8835852146148682,1.8835852146148682
120,feat_119,0.0238832775503397,0.009977041743695736,0.007678688038140535,1.8110171556472778,-1.0386472940444946,-1.8810080289840698,1.8810080289840698
18,feat_17,0.08564358949661255,0.05404295399785042,0.024970095604658127,1.2655391693115234,1.455169916152954,1.8415745496749878,1.8415745496749878
103,feat_102,0.015725398436188698,0.0051423413679003716,0.005439106374979019,1.9457345008850098,0.9444742798805237,1.8376961946487427,1.8376961946487427
6,feat_5,0.04034048318862915,0.03260890394449234,0.011775192804634571,0.6565989255905151,2.7442119121551514,1.8018466234207153,1.8018466234207153
9,feat_8,0.2554415166378021,0.18769793212413788,0.05211954191327095,1.2997732162475586,-1.3521735668182373,-1.757519006729126,1.757519006729126
45,feat_44,0.22821983695030212,0.18608839809894562,0.043518923223018646,0.9681176543235779,1.764298677444458,1.708048701286316,1.708048701286316
24,feat_23,0.038401443511247635,0.03351294621825218,0.012149296700954437,0.4023687541484833,4.1988301277160645,1.6894780397415161,1.6894780397415161
130,feat_129,0.004170074127614498,0.0024989137891680002,0.001302879536524415,1.282666802406311,-1.199730396270752,-1.5388543605804443,1.5388543605804443
84,feat_83,0.022653454914689064,0.009386861696839333,0.007807557471096516,1.6991989612579346,0.8241027593612671,1.4003145694732666,1.4003145694732666
102,feat_101,0.030072681605815887,0.010018978267908096,0.008977602235972881,2.233748197555542,0.6111611127853394,1.3651800155639648,1.3651800155639648
81,feat_80,0.04803583770990372,0.02293783612549305,0.016553252935409546,1.5161975622177124,0.8924916386604309,1.3531936407089233,1.3531936407089233
46,feat_45,0.14309081435203552,0.1690378338098526,0.03352116793394089,-0.7740488052368164,-1.653002142906189,1.2795042991638184,1.2795042991638184
